Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,104,1,Some Random Commen with Id 0
1,0,7,166,6,Some Random Commen with Id 1
2,0,7,193,7,Some Random Commen with Id 2
3,0,7,96,7,Some Random Commen with Id 3
4,0,7,164,1,Some Random Commen with Id 4
5,0,7,66,5,Some Random Commen with Id 5
6,0,7,79,5,Some Random Commen with Id 6
7,2,4,34,1,Some Random Commen with Id 7
8,2,4,12,4,Some Random Commen with Id 8
9,2,4,59,3,Some Random Commen with Id 9
10,2,4,142,9,Some Random Commen with Id 10
11,2,4,63,4,Some Random Commen with Id 11
12,3,2,177,1,Some Random Commen with Id 12
13,3,2,134,3,Some Random Commen with Id 13
14,3,2,144,4,Some Random Commen with Id 14
15,3,2,105,4,Some Random Commen with Id 15
16,3,2,57,3,Some Random Commen with Id 16
17,3,2,22,3,Some Random Commen with Id 17
18,5,1,115,4,Some Random Commen with Id 18
19,5,1,135,0,Some Random Commen with Id 19
20,5,1,55,5,Some Random Commen with Id 20
21,5,1,7,7,Some Random Commen with Id 21
22,7,4,16,5,Some Random Commen with Id 22
23,7,4,157,1,Some Random Commen with Id 23
24,7,4,59,1,Some Random Commen with Id 24
25,7,4,136,0,Some Random Commen with Id 25
26,7,4,90,8,Some Random Commen with Id 26
27,7,4,40,1,Some Random Commen with Id 27
28,7,4,123,6,Some Random Commen with Id 28
29,7,4,29,9,Some Random Commen with Id 29
30,7,4,149,3,Some Random Commen with Id 30
31,8,9,6,9,Some Random Commen with Id 31
32,8,9,72,7,Some Random Commen with Id 32
33,8,9,183,3,Some Random Commen with Id 33
34,9,7,7,4,Some Random Commen with Id 34
35,9,7,52,5,Some Random Commen with Id 35
36,9,7,76,8,Some Random Commen with Id 36
37,9,7,84,2,Some Random Commen with Id 37
38,9,7,121,8,Some Random Commen with Id 38
39,9,7,144,4,Some Random Commen with Id 39
40,9,7,137,7,Some Random Commen with Id 40
41,10,2,146,9,Some Random Commen with Id 41
42,10,2,36,6,Some Random Commen with Id 42
43,10,2,28,1,Some Random Commen with Id 43
44,10,2,119,2,Some Random Commen with Id 44
45,10,2,128,1,Some Random Commen with Id 45
46,11,1,198,9,Some Random Commen with Id 46
47,11,1,53,6,Some Random Commen with Id 47
48,11,1,54,0,Some Random Commen with Id 48
49,11,1,85,1,Some Random Commen with Id 49
50,12,0,178,9,Some Random Commen with Id 50
51,13,2,164,6,Some Random Commen with Id 51
52,13,2,9,1,Some Random Commen with Id 52
53,13,2,117,7,Some Random Commen with Id 53
54,13,2,146,9,Some Random Commen with Id 54
55,13,2,47,0,Some Random Commen with Id 55
56,13,2,133,5,Some Random Commen with Id 56
57,13,2,54,0,Some Random Commen with Id 57
58,14,2,0,7,Some Random Commen with Id 58
59,14,2,63,3,Some Random Commen with Id 59
60,14,2,105,0,Some Random Commen with Id 60
61,14,2,72,6,Some Random Commen with Id 61
62,14,2,52,3,Some Random Commen with Id 62
63,14,2,48,5,Some Random Commen with Id 63
64,14,2,43,7,Some Random Commen with Id 64
65,15,2,63,2,Some Random Commen with Id 65
66,15,2,68,0,Some Random Commen with Id 66
67,15,2,163,2,Some Random Commen with Id 67
68,15,2,199,4,Some Random Commen with Id 68
69,15,2,123,1,Some Random Commen with Id 69
70,16,8,26,3,Some Random Commen with Id 70
71,16,8,158,8,Some Random Commen with Id 71
72,16,8,112,3,Some Random Commen with Id 72
73,16,8,142,5,Some Random Commen with Id 73
74,16,8,163,3,Some Random Commen with Id 74
75,16,8,49,3,Some Random Commen with Id 75
76,16,8,69,1,Some Random Commen with Id 76
77,17,2,83,8,Some Random Commen with Id 77
78,17,2,132,3,Some Random Commen with Id 78
79,17,2,181,8,Some Random Commen with Id 79
80,17,2,81,0,Some Random Commen with Id 80
81,18,7,101,2,Some Random Commen with Id 81
82,18,7,154,0,Some Random Commen with Id 82
83,19,8,111,7,Some Random Commen with Id 83
84,19,8,194,9,Some Random Commen with Id 84
85,19,8,62,5,Some Random Commen with Id 85
86,20,4,190,3,Some Random Commen with Id 86
87,20,4,133,4,Some Random Commen with Id 87
88,20,4,156,1,Some Random Commen with Id 88
89,20,4,153,0,Some Random Commen with Id 89
90,20,4,21,0,Some Random Commen with Id 90
91,20,4,83,4,Some Random Commen with Id 91
92,20,4,91,7,Some Random Commen with Id 92
93,21,8,27,8,Some Random Commen with Id 93
94,21,8,72,4,Some Random Commen with Id 94
95,21,8,162,4,Some Random Commen with Id 95
96,21,8,186,1,Some Random Commen with Id 96
97,21,8,16,0,Some Random Commen with Id 97
98,21,8,20,9,Some Random Commen with Id 98
99,21,8,85,5,Some Random Commen with Id 99
100,21,8,97,3,Some Random Commen with Id 100
101,21,8,112,6,Some Random Commen with Id 101
102,22,8,166,9,Some Random Commen with Id 102
103,22,8,163,3,Some Random Commen with Id 103
104,22,8,199,3,Some Random Commen with Id 104
105,22,8,177,8,Some Random Commen with Id 105
106,22,8,68,2,Some Random Commen with Id 106
107,22,8,179,2,Some Random Commen with Id 107
108,23,7,132,2,Some Random Commen with Id 108
109,24,9,49,4,Some Random Commen with Id 109
110,24,9,58,6,Some Random Commen with Id 110
111,24,9,111,7,Some Random Commen with Id 111
112,24,9,9,6,Some Random Commen with Id 112
113,24,9,92,2,Some Random Commen with Id 113
114,24,9,99,2,Some Random Commen with Id 114
115,24,9,102,2,Some Random Commen with Id 115
116,24,9,54,0,Some Random Commen with Id 116
117,26,7,171,6,Some Random Commen with Id 117
